"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2006","17,289.5","17,201.8","17,313.5","17,194.4","","0.30%"
"09/19/2006","17,238.2","17,097.7","17,289.3","17,085.3","","0.67%"
"09/18/2006","17,124.2","17,095.6","17,217.9","17,051.9","","-0.15%"
"09/15/2006","17,150.6","17,198.5","17,248.8","17,083.1","","-0.45%"
"09/14/2006","17,227.4","17,181.2","17,298.4","17,073.1","","0.11%"
"09/13/2006","17,209.3","17,143.4","17,192.2","17,053.0","","0.20%"
"09/12/2006","17,175.2","17,004.2","17,170.8","16,984.2","","0.83%"
"09/11/2006","17,033.4","17,020.0","17,087.8","16,962.3","","-0.08%"
"09/08/2006","17,046.8","17,064.0","17,098.5","16,976.7","","-0.18%"
"09/07/2006","17,078.3","17,156.2","17,177.4","17,012.2","","-0.62%"
"09/06/2006","17,184.4","17,239.4","17,251.2","17,098.0","","-0.53%"
"09/05/2006","17,276.5","17,305.6","17,307.4","17,208.3","","-0.26%"
"09/04/2006","17,321.7","17,333.2","17,345.0","17,275.6","","-0.15%"
"09/01/2006","17,347.4","17,332.8","17,344.1","17,235.9","","-0.09%"
"08/31/2006","17,363.8","17,328.3","17,370.2","17,282.7","","0.01%"
"08/30/2006","17,362.8","17,231.1","17,359.6","17,211.1","","0.61%"
"08/29/2006","17,256.9","17,266.9","17,327.1","17,157.6","","-0.24%"
"08/28/2006","17,297.6","17,216.9","17,322.7","17,203.2","","0.30%"
"08/25/2006","17,245.1","17,243.2","17,270.3","17,182.1","","-0.09%"
"08/24/2006","17,259.8","17,219.7","17,320.6","17,174.8","","0.15%"
"08/23/2006","17,234.0","17,116.8","17,282.5","17,106.8","","0.60%"
"08/22/2006","17,131.5","17,155.4","17,188.9","17,080.5","","-0.23%"
"08/21/2006","17,171.0","17,048.4","17,217.0","17,048.4","","0.57%"
"08/18/2006","17,073.5","17,142.8","17,144.7","17,014.9","","-0.41%"
"08/17/2006","17,143.5","17,236.5","17,278.3","17,106.5","","-0.55%"
"08/16/2006","17,237.6","17,221.3","17,292.8","17,158.7","","0.05%"
