"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2022","14,530.6","14,559.9","14,672.8","14,381.0","109.96K","-0.26%"
"09/23/2022","14,568.9","14,768.8","14,791.3","14,532.8","91.08K","-1.31%"
"09/22/2022","14,762.8","14,750.6","14,875.4","14,705.6","103.98K","0.10%"
"09/21/2022","14,747.6","14,935.1","14,965.0","14,713.1","87.61K","-1.25%"
"09/20/2022","14,933.6","15,008.0","15,049.9","14,909.6","73.14K","-0.49%"
"09/19/2022","15,006.5","14,965.0","15,015.4","14,922.6","63.36K","0.23%"
"09/16/2022","14,972.4","14,893.5","15,003.8","14,869.8","73.05K","0.52%"
"09/15/2022","14,895.0","14,870.7","14,920.3","14,826.0","69.25K","0.11%"
"09/14/2022","14,878.2","14,805.5","14,939.3","14,781.7","87.94K","0.51%"
"09/13/2022","14,802.5","15,016.6","15,127.7","14,796.5","77.86K","-1.42%"
"09/12/2022","15,015.1","14,943.7","15,129.4","14,914.0","62.52K","0.87%"
"09/09/2022","14,885.8","14,890.5","14,994.1","14,872.5","76.58K","-0.01%"
"09/08/2022","14,887.5","14,913.5","14,938.2","14,789.3","86.50K","-0.18%"
"09/07/2022","14,915.0","14,739.1","14,929.9","14,655.5","82.81K","1.18%"
"09/06/2022","14,740.6","14,789.7","14,864.2","14,679.6","101.66K","-0.34%"
"09/05/2022","14,791.2","14,817.5","14,817.5","14,733.5","67.29K","-0.21%"
"09/02/2022","14,822.0","14,796.7","14,944.2","14,781.7","69.10K","0.17%"
"09/01/2022","14,796.7","14,918.7","14,951.4","14,744.6","85.99K","-0.86%"
"08/31/2022","14,924.6","14,859.3","14,955.8","14,795.5","87.75K","0.45%"
"08/30/2022","14,857.8","14,886.1","14,920.1","14,811.8","90.38K","-0.20%"
"08/29/2022","14,887.5","14,788.3","14,936.7","14,690.5","59.98K","0.88%"
"08/26/2022","14,757.2","14,780.0","14,946.8","14,736.8","61.08K","-0.15%"
"08/25/2022","14,780.0","14,793.0","14,868.9","14,741.5","82.65K","-0.09%"
"08/24/2022","14,793.0","14,789.0","14,843.5","14,708.4","67.71K","0.05%"
"08/23/2022","14,786.0","14,800.2","14,861.7","14,703.0","82.52K","-0.08%"
"08/22/2022","14,797.2","14,892.9","14,946.0","14,771.9","88.10K","-0.59%"
"08/19/2022","14,885.4","14,960.5","14,997.9","14,879.5","76.76K","-0.50%"
"08/18/2022","14,960.5","15,027.8","15,108.8","14,945.7","78.47K","-0.47%"
"08/17/2022","15,030.8","15,013.0","15,063.3","14,977.6","92.06K","0.10%"
"08/16/2022","15,016.0","14,975.8","15,051.4","14,943.7","63.72K","0.27%"
"08/15/2022","14,975.8","15,047.8","15,104.7","14,965.5","65.15K","-0.45%"
"08/12/2022","15,043.4","15,228.6","15,247.8","15,011.1","80.39K","-1.25%"
"08/11/2022","15,233.0","15,311.6","15,336.2","15,203.3","84.94K","-0.51%"
"08/10/2022","15,311.6","15,164.8","15,417.2","15,148.5","88.63K","0.98%"
"08/09/2022","15,163.3","15,166.5","15,216.8","15,130.7","80.78K","-0.01%"
"08/08/2022","15,165.1","15,158.3","15,210.8","15,128.5","67.99K","0.04%"
"08/05/2022","15,159.5","15,299.8","15,310.3","15,102.5","82.71K","-0.90%"
"08/04/2022","15,297.3","15,158.6","15,312.5","15,142.2","79.57K","0.95%"
"08/03/2022","15,153.0","15,139.7","15,225.7","15,095.2","80.08K","0.10%"
"08/02/2022","15,137.2","15,261.4","15,360.3","15,135.3","102.56K","-0.79%"
"08/01/2022","15,258.1","15,155.8","15,283.0","15,136.6","84.71K","0.69%"
"07/29/2022","15,153.3","15,228.2","15,238.6","15,048.3","81.99K","-0.44%"
"07/28/2022","15,219.6","15,309.2","15,335.5","15,102.0","106.82K","-0.61%"
"07/27/2022","15,313.2","15,171.7","15,344.5","15,121.2","76.31K","0.97%"
